nprocs, input, strategy, result, average_time, max_time, speed_up, efficiency
1,10000000,Strategy 1,10000000.000000,0.042712,0.042712
2,10000000,Strategy 1,10000000.000000,0.021397,0.021399
4,10000000,Strategy 1,10000000.000000,0.016088,0.021740
8,10000000,Strategy 1,10000000.000000,0.010269,0.013948
1,10000000,Strategy 2,10000000.000000,0.042718,0.042718
2,10000000,Strategy 2,10000000.000000,0.021397,0.021412
4,10000000,Strategy 2,10000000.000000,0.010736,0.010765
8,10000000,Strategy 2,10000000.000000,0.006036,0.006696
1,10000000,Strategy 3,10000000.000000,0.042703,0.042703
2,10000000,Strategy 3,10000000.000000,0.021438,0.021440
4,10000000,Strategy 3,10000000.000000,0.011440,0.012128
8,10000000,Strategy 3,10000000.000000,0.008256,0.009247
